,name,pos,valueOverNextRound,ADP,chanceOfStayingOnBoard,preds,pct_better,total_pt_gains,chanceOfStayingOnBoardTwoRounds,chanceOfStayingOnThreeRounds,valueOverTwoRounds,valueOverThreeRounds,auction_value
10,AmariCooper,WR,-40.4297716882068,48.0,0.91,27.41640000000003,0.65,67.5944,0.900728603156669,0.6483807083005341,-37.62245386343757,10.832066881355715,15.63747630901414
11,TeeHiggins,WR,-43.6620516882068,33.6,0.82,24.03860000000003,0.622,64.36211999999999,0.7995458067395504,0.33481106630246815,-40.85473386343757,7.599786881355712,13.568932523149472
12,KeenanAllen,WR,-37.2045716882068,46.8,0.9,24.036840000000065,0.608,70.8196,0.8959011176673405,0.6299448624984201,-34.39725386343757,14.057266881355716,17.701489147682423
13,JerryJeudy,WR,-44.16425168820679,52.8,0.92,21.588560000000026,0.62,63.85992,0.9166075593361234,0.7110728812739281,-41.35693386343756,7.097586881355724,13.247542455067125
14,TyreekHill,WR,-30.217811688206794,9.6,0.02,19.656480000000006,0.606,77.80636,0.011303844238552796,6.009127639927669e-10,-27.410493863437566,21.04402688135572,22.1727660733596
15,BrandonAiyuk,WR,-49.97521168820679,81.6,0.96,12.170520000000016,0.59,58.04896,0.9583123228070386,0.8826958217353844,-47.16789386343756,1.2866268813557227,9.528735545421878
16,ChrisGodwin,WR,-44.6400516882068,54.0,0.93,4.08548,0.572,63.38411999999999,0.9198785829084575,0.7243270977789165,-41.832733863437575,6.62178688135571,12.943047444327203
17,JaylenWaddle,WR,-42.31869168820678,25.2,0.67,3.513840000000005,0.586,65.70548000000001,0.6425254313761068,0.0990547214383708,-39.511373863437555,8.94314688135573,14.428634956162453
18,ChristianWatson,WR,-54.76553168820679,55.199999999999996,0.93,2.703840000000001,0.594,53.25864,0.9229213994479282,0.7367420049605217,-51.958213863437564,-3.5036931186442786,6.463101792064115
19,DeeboSamuel,WR,-50.22361168820679,45.6,0.9,1.6978399999999987,0.516,57.800560000000004,0.8906514475743081,0.6102612475557972,-47.41629386343756,1.038226881355726,9.369768414972542
20,TylerLockett,WR,-55.76597168820679,76.8,0.96,1.470800000000001,0.544,52.2582,0.9545729166228215,0.8676072504860748,-52.95865386343756,-4.504133118644276,5.822855914500771
21,ChristianKirk,WR,-54.462451688206784,94.8,0.97,0.8296000000000003,0.548,53.56172000000001,0.9657893629762718,0.9119859882081502,-51.655133863437555,-3.20061311864427,6.657062170069695
22,DKMetcalf,WR,-54.491211688206796,32.4,0.8,-3.8426399999999994,0.568,53.532959999999996,0.7841268568052655,0.3000913039935139,-51.68389386343757,-3.2293731186442827,6.638656796995118
23,MikeEvans,WR,-61.45485168820679,64.8,0.95,-5.700120000000006,0.532,46.569320000000005,0.9411247572522816,0.8121142458744348,-58.64753386343756,-10.193013118644274,2.182175845778453
24,MichaelPittman,WR,-61.98397168820679,91.2,0.97,-11.236559999999997,0.496,46.0402,0.9640696808870742,0.9053782818903118,-59.176653863437565,-10.72213311864428,1.8435579389211496
25,MikeWilliams,WR,-64.86469168820679,67.2,0.95,-11.750800000000002,0.494,43.15948,0.9444315070432586,0.8258600734493138,-62.05737386343756,-13.602853118644276,0.0
26,TerryMcLaurin,WR,-65.54921168820678,66.0,0.95,-13.437319999999996,0.488,42.47496000000001,0.9428259351288997,0.8191895147214949,-62.741893863437554,-14.287373118644268,0.0
27,ChrisOlave,WR,-66.64361168820679,44.4,0.89,-23.77136000000001,0.494,41.38056000000001,0.8849303297782918,0.5892596851199932,-63.836293863437554,-15.381773118644269,0.0
28,DJMoore,WR,-70.94461168820679,63.599999999999994,0.94,-26.58992,0.442,37.07956,0.9393200660200565,0.8046039629466772,-68.13729386343756,-19.682773118644278,0.0
29,MarquiseBrown,WR,-76.9160116882068,68.39999999999999,0.95,-40.155200000000015,0.428,31.108159999999998,0.9459486442782337,0.8321539294909225,-74.10869386343757,-25.65417311864428,0.0
30,TravisKelce,TE,41.53283782896261,6.0,0.0,59.93852000000004,0.722,117.24916,9.10764857453561e-06,0.0,41.54105098298248,41.92077738284047,69.30896549126827
31,DallasGoedert,TE,-0.5620821710374031,87.6,0.96,22.128600000000013,0.7,75.15423999999999,0.9621335414270833,0.8978388987622165,-0.5538690170175329,-0.17414261715954638,33.039368997477816
32,TJHockenson,TE,0.06895782896260982,58.8,0.94,19.261280000000024,0.712,75.78528,0.9308767957635917,0.7695163240843739,0.07717098298248004,0.45689738284046655,33.583082257211814
33,MarkAndrews,TE,-13.441802171037395,51.6,0.92,9.26072000000001,0.608,62.274519999999995,0.913085038052915,0.6969175707804116,-13.433589017017525,-13.053862617159538,21.94201455772588
34,EvanEngram,TE,-15.947482171037393,106.8,0.97,5.996600000000004,0.644,59.76884,0.970333266622503,0.9289657966818833,-15.939269017017523,-15.559542617159536,19.7830841560869
